,CAS,Name,Formula,Mw,Elements,SMILES,InChi
970,10388-10-0,"Alpha,alpha,alpha,alpha',alpha',alpha'-2-heptachloro-p-xylene",C8H3Cl7,343.805443873307,"['C', 'H', 'Cl']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
975,103-90-2,Acetaminophen,C8H9NO2,151.0633285337264,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
988,103-96-8,"N,n'-di-sec-octyl p-phenylene diamine",C22H40N2,332.319149298424,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1027,10412-98-3,"Hexanenitrile, 5-oxo-",C6H9NO,111.0684139141547,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1044,104-21-2,"Benzenemethanol, 4-methoxy-, acetate",C10H12O3,180.0786442455831,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1102,104-42-7,P-dodecylaniline,C18H31N,261.24565000384104,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1120,104-51-8,"Benzene, butyl-",C10H14,134.109550451346,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1126,104-55-2,Cinnamylaldehyde,C9H8O,132.0575148774837,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1139,104-61-0,"2(3H)-Furanone, dihydro-5-pentyl-",C9H16O2,156.1150297549674,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1159,104-72-3,"Benzene, decyl-",C16H26,218.203450838214,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
